time,load_const_worker_aggr
2020-10-15T20:56:37-03:00,0
2020-10-15T20:56:38-03:00,0
2020-10-15T20:56:39-03:00,0
2020-10-15T20:56:40-03:00,0
2020-10-15T20:56:41-03:00,100
2020-10-15T20:56:42-03:00,100
2020-10-15T20:56:43-03:00,100
2020-10-15T20:56:44-03:00,100
2020-10-15T20:56:45-03:00,100
2020-10-15T20:56:46-03:00,100
2020-10-15T20:56:47-03:00,100
2020-10-15T20:56:48-03:00,100
2020-10-15T20:56:49-03:00,100
2020-10-15T20:56:50-03:00,100
2020-10-15T20:56:51-03:00,100
2020-10-15T20:56:52-03:00,101
2020-10-15T20:56:53-03:00,99
2020-10-15T20:56:54-03:00,100
2020-10-15T20:56:55-03:00,100
2020-10-15T20:56:56-03:00,100
2020-10-15T20:56:57-03:00,100
2020-10-15T20:56:58-03:00,100
2020-10-15T20:56:59-03:00,100
2020-10-15T20:57:00-03:00,101
2020-10-15T20:57:01-03:00,99
2020-10-15T20:57:02-03:00,100
2020-10-15T20:57:03-03:00,100
2020-10-15T20:57:04-03:00,100
2020-10-15T20:57:05-03:00,100
2020-10-15T20:57:06-03:00,100
2020-10-15T20:57:07-03:00,100
2020-10-15T20:57:08-03:00,100
2020-10-15T20:57:09-03:00,100
2020-10-15T20:57:10-03:00,100
2020-10-15T20:57:11-03:00,100
2020-10-15T20:57:12-03:00,100
2020-10-15T20:57:13-03:00,100
2020-10-15T20:57:14-03:00,100
2020-10-15T20:57:15-03:00,100
2020-10-15T20:57:16-03:00,101
2020-10-15T20:57:17-03:00,99
2020-10-15T20:57:18-03:00,100
2020-10-15T20:57:19-03:00,100
2020-10-15T20:57:20-03:00,100
2020-10-15T20:57:21-03:00,100
2020-10-15T20:57:22-03:00,100
2020-10-15T20:57:23-03:00,100
2020-10-15T20:57:24-03:00,100
2020-10-15T20:57:25-03:00,101
2020-10-15T20:57:26-03:00,100
2020-10-15T20:57:27-03:00,100
2020-10-15T20:57:28-03:00,100
2020-10-15T20:57:29-03:00,100
2020-10-15T20:57:30-03:00,99
2020-10-15T20:57:31-03:00,101
2020-10-15T20:57:32-03:00,99
2020-10-15T20:57:33-03:00,101
2020-10-15T20:57:34-03:00,99
2020-10-15T20:57:35-03:00,101
2020-10-15T20:57:36-03:00,100
2020-10-15T20:57:37-03:00,100
2020-10-15T20:57:38-03:00,100
2020-10-15T20:57:39-03:00,99
2020-10-15T20:57:40-03:00,100
2020-10-15T20:57:41-03:00,0
2020-10-15T20:57:42-03:00,0
2020-10-15T20:57:43-03:00,0

